ms,degC
-28708,35.60
-26685,35.60
-24663,35.60
-22640,35.60
-20616,35.60
-18593,35.60
-16571,35.60
-14547,35.60
-12525,35.60
-10502,35.60
-8479,35.60
-6457,35.60
-4434,35.60
-2411,35.60
-389,35.60
1634,35.60
3658,35.60
5682,36.00
7704,36.30
9726,36.30
11749,36.30
13773,36.30
15796,36.30
17818,36.30
19841,36.30
21865,36.30
23887,36.30
25910,36.30
27932,36.30
29957,36.40
31979,36.40
-31535,36.40
-29512,36.80
-27488,36.90
-25465,36.90
-23443,36.90
-21418,36.90
-19396,36.90
-17374,36.90
-15349,36.90
-13327,36.90
-11304,36.90
-9280,36.90
-7258,36.90
-5235,36.90
-3213,36.90
-1188,36.90
834,36.90
2856,36.90
4879,36.90
6903,36.90
8926,36.90
10948,36.90
12971,36.90
14994,36.90
17018,36.90
19041,36.90
21063,36.90
23088,36.90
25111,36.90
27133,36.90
29156,36.90
31180,36.90
-32332,36.90
-30310,36.90
-28287,36.90
-26263,36.90
-24241,36.90
-22218,36.90
